Intro - Railway Science Spl-30 | New Batch Introduction | By Kajal Ma'am | Careerwill App : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/vod_non_drm_hls/migration/Y9q-0O1Zb1E/Y9q-0O1Zb1E.m3u8
Intro - Railway Practice & Revision Batch Intro | Rakesh Sir : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_drm/4617408/1764673774_3695649682200612/1764673764792_555475691839493760_video_VOD.mpd
Intro - Doubt Introduction : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/vod_drm/4636029/1766405525_4789029050245594/1766405170051_784040954712601300_video_VOD.mpd
Intro - Announcement (Bharat Sir) : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4636507/176646792061321590324/176646792061321590324_1590324.m3u8
Intro - Announcement (Bharat Sir) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4637793/176655438896614292795/176655438896614292795_4292795.m3u8
Intro - Announcement (Bharat Sir) : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4638992/176664116094455722963/176664116094455722963_5722963.m3u8
Intro - Announcement (Bharat Sir) : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4639737/176672775416879906065/176672775416879906065_9906065.m3u8
Intro - Announcement (Bharat Sir) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4641656/176698764022109183388/176698764022109183388_9183388.m3u8
Intro - Announcement (Bharat Sir) : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4642745/176707287482984392287/176707287482984392287_4392287.m3u8
Intro - Announcement (Bharat Sir) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4643940/176715935549686618747/176715935549686618747_6618747.m3u8
Intro - Announcement (Bharat Sir) : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4645443/176733199725474292795/176733199725474292795_4292795.m3u8
Intro - Announcement (Bharat Sir) : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4658628/176845506765736618747/176845506765736618747_6618747.m3u8
Intro - Announcement (Bharat Sir) : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4666434/176914623269666974029/176914623269666974029_6974029.m3u8
Intro - 60 Rules of Grammar | Basic English Grammar | Part 01 | English by Ankul Sir #ssc #ssccgl : https://www.youtube.com/watch?v=jld21LshxDo
Physics - Class-01 | Physics : https://www.youtube.com/watch?v=PWx0CxGSJ5Q
Physics - Phy | 01 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/lclsys_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_01aug.pdf
Physics - Phy | 04 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6891be1f3288c_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_04aug.pdf
Physics - Phy | 05 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68933517decd4_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_05aug.pdf
Physics - Phy | 06 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/689431f12228c_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_06aug_compressed.pdf
Physics - Phy | 7 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68959f1e7d87b_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_07aug.pdf
Physics - Phy | 08 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/689c3b1434ccd_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_08aug.pdf
Physics - Phy | 12 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/689c3cb2cd4f0_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_12aug.pdf
Physics - Phy | 13 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/689d8addd2f86_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_13aug.pdf
Physics - Phy | 14 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68a2b00537dfd_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_14aug.pdf
Physics - Phy | 18 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68a40df7ef1ee_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_18aug.pdf
Physics - Phy | 19 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68a56f2fe90a1_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_19aug.pdf
Physics - Phy | 20 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68a6ae20bcb5e_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_20aug.pdf
Physics - Phy | 21 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68a808a376434_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_21aug.pdf
Physics - Phy | 22 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68ac22625a61a_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_22aug_compressed.pdf
Physics - Phy | 27 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68afecd54d54d_8_to_9_am_27th_aug.pdf
Physics - Phy | 28 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68b189d33fed1_8_to_9_am_28th_aug_compressed.pdf
Physics - Phy | 29 Aug | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68b2be62256ae_8_to_9_am_29th_aug.pdf
Physics - Phy | 01 Sep | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68b69b714ab63_8_to_9_am_01sep.pdf
Physics - Phy | 2 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68b7d27962854_8_to_9_am_02sep.pdf
Physics - Phy | 3 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68b949ddf3c8d_8_to_9_am_03sep.pdf
Physics - Phy | 4 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68bbc9e9914e9_8_to_9_am_04sep_compressed.pdf
Physics - Phy | 8 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68bfcc58cbfd1_8_to_9_am_08sep_compressed.pdf
Physics - Phy | 09 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68c11644b5dfb_8_to_9_am_09sep.pdf
Physics - Phy | 10 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68c2616b34e40_8_to_9_am_10sep.pdf
Physics - Phy | 13 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68c7b97005932_8_to_9_am_13sep_compressed.pdf
Physics - Phy | 15 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68ca49afc4200_8_to_9_am_15sep.pdf
Physics - Phy | 16 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68ca4bac48d15_8_to_9_am_16sep.pdf
Physics - Phy | 17 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68cb9acb6b628_8_to_9_am_17sep_compressed.pdf
Physics - Phy | 17 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68cb9acb6b628_8_to_9_am_17sep_compressed.pdf
Physics - Phy | 18 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68ccf6ab72548_8_to_9_am_18sep.pdf
Physics - Phy | 19 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d0d580a8294_8_to_9_am_19sep.pdf
Physics - Phy | 22 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d22e3336312_8_to_9_am_22sep.pdf
Physics - Phy | 23 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d38617414d4_8_to_9_am_23sep.pdf
Physics - Phy | 24 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68d4dfd53700d_8_to_9_am_24sep.pdf
Physics - Phy | 29 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68db5d985a356_8_to_9_am_29sep_compressed.pdf
Physics - Phy | 26 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68db5f019da93_8_to_9_am_26sep.pdf
Physics - Electricity Questions Book PDF : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68db661ba469a_Electricity_questions_for_Book_compressed_11zon.pdf
Physics - Phy | 30 Sept | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68dcf90f891a8_8_to_9_am_30sep.pdf
Physics - Phy | 8 Oct | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68e8a031e6f25_8_to_9_am_New_batches_08oct.pdf
Physics - Phy | 9 Oct | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68e8a0f382ea3_8_to_9_am_New_batches_09oct.pdf
Physics - Phy | 10 Oct | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68fefd6cafd4a_8_to_9_am_10oct.pdf
Physics - Phy | 14 Oct | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68ff0c20b0c32_8_to_9_am_14oct.pdf
Physics - Phy | 15 Oct | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68ff0f513cb9b_8_to_9_am_15oct_compressed.pdf
Physics - Phy | 16 Oct | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68ff1054dd782_8_to_9_am_16oct.pdf
Physics - Phy | 17 Oct | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68ff10ede7393_8_to_9_am_17oct.pdf
Physics - Phy | 27 Oct | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6900614b96838_8_to_9_am_27oct.pdf
Physics - Phy | 30 Oct | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/69031ffed0ef5_8_to_9_am_29oct_compressed.pdf
Physics - Phy | 3 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6909d653c749b_8_to_9_am_03_nov_compressed.pdf
Physics - Phy | 30 Oct | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6909dac96952c_8_to_9_am_30oct_compressed.pdf
Physics - Phy | 4 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/690c361792aa1_8_to_9_am_04nov_compressed.pdf
Physics - Phy | 5 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/690c36cc7fe7b_8_to_9_am_05nov_compressed.pdf
Physics - Phy | 7 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/69119314b574e_8_to_9_am_06nov_compressed.pdf
Physics - Phy | 7 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/691193a3c76c8_8_to_9_am_07nov_compressed.pdf
Physics - Phy | 10 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6912db5b96c1c_8_to_9_am_07nov_merged_compressed_compressed.pdf
Physics - Phy | 12 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/69159e277cab7_8_to_9_am_12nov_compressed.pdf
Physics - Phy | 17 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/691d6f95d43b0_8_to_9_am_17nov_merged_compressed_compressed.pdf
Physics - Phy | 20 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6926c0845107b_8_to_9_am_20nov_compressed.pdf
Physics - Phy | 24 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6926c13eefb1f_8_to_9_am_24nov_compressed.pdf
Physics - Phy | 21 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6926c1cd03e0c_8_to_9_am_21nov_compressed.pdf
Physics - Phy | 25 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6926c261b4f50_8_to_9_am_25nov_compressed.pdf
Physics - Phy | 26 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/69280eca7d01f_8_to_9_am_26nov_compressed.pdf
Physics - Phy | 27 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/69294898e8946_8_to_9_am_27nov_compressed.pdf
Physics - Phy | 28 Nov | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6929492d62cae_8_to_9_am_28nov_compressed.pdf
Physics - Phy | 01 Dec | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/692e86ab5b250_8_to_9_am_1dec_compressed.pdf
Physics - Physics | 08 Dec | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6936eb394d0a9_ankur_7.45_pdf.pdf
Physics - Phy | 08 Dec | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6937baf94afc6_8_to_9_am_8dec_compressed.pdf
Physics - Phy | 04 Dec | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6937bb5e49818_8_to_9_am_4dec_compressed.pdf
Physics - Phy | 09 Dec | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/69383f7c9de09_ankur_7.45_compressed.pdf
Physics - Physics | 10 Dec | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6939907508a99_Physics_10_Dec_Class_PNG_.pdf
Physics - Physics | 11 Dec | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/693adfd0637fa_ankur_7.45.pdf
Physics - Physics | 12 Dec | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/693d27b4a5ad4_9_to_10_pm_18th_july_compressed.pdf
Physics - Physics | 13 Dec | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/693d85c4b0ecc_ankur_7.45_compressed.pdf
Chemistry - Class-01 | Chemistry | Acid, Base & Salt : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6372519810112/6372519810112.m3u8
Chemistry - Class-02 | Chemistry | Acid, Base & Salt : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6372573837112/6372573837112.m3u8
Chemistry - Class-03 | Chemistry : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6373171361112/6373171361112.m3u8
Chemistry - Class-04 | Chemistry : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6373226812112/6373226812112.m3u8
Chemistry - Class-05 | Chemistry : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6373817703112/6373817703112.m3u8
Chemistry - Class-06 | Chemistry : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6373902427112/6373902427112.m3u8
Chemistry - Class-07 |  Metal and Non Metals : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6374182422112/6374182422112.m3u8
Chemistry - Class-08 |  Metal and Non Metals : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374236086112/6374236086112.m3u8
Chemistry - Class-09 |  Metal and Non Metals : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6374573180112/6374573180112.m3u8
Chemistry - Class-10 |  Metal and Non Metals : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6374615189112/6374615189112.m3u8
Chemistry - Class-15 | Noble Gases : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6348483549112/6348483549112.m3u8
Chemistry - Class-16 | Carbon and its compound : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4480176/175224388259658291192/175224388259658291192_8291192.m3u8
Chemistry - Class-17 | Carbon and its compound : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4485091/175276248785144392287/175276248785144392287_4392287.m3u8
Chemistry - Class-19 | Chem | Carbon and its compound : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4492895/175337116885657118381/175337116885657118381_7118381.m3u8
Chemistry - Class-20 | Chem | Fuel : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6351461296112/6351461296112.m3u8
Chemistry - Class-22 | Chem | Periodic Table : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4521261/175518169062454819135/175518169062454819135_4819135.m3u8
Chemistry - Class-23 | Chem | Periodic Table : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4526745/175578650077087118381/175578650077087118381_7118381.m3u8
Chemistry - Class-24 | Chem | Periodic Table : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4527924/175587230061791590324/175587230061791590324_1590324.m3u8
Chemistry - Class-25 | Chem | Periodic Table : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4533827/175639274130966908824/175639274130966908824_6908824.m3u8
Chemistry - Class-26 | Glass : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6350957297112/6350957297112.m3u8
Chemistry - Class-27 | Mixture and Colloid : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6349736219112/6349736219112.m3u8
Chemistry - Class-28 | Mixture and Colloid : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6349929248112/6349929248112.m3u8
Chemistry - Class-29 | Radioactivity : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6350073826112/6350073826112.m3u8
Chemistry - Class-30 | Radioactivity : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6350130388112/6350130388112.m3u8
Chemistry - Class-31 | Radioactivity : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6350191519112/6350191519112.m3u8
Chemistry - Class-32 | Chem | Atomic Structure : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371080636112/6371080636112.m3u8
Chemistry - Class-33 | Chem | Atomic Structure : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6371209314112/6371209314112.m3u8
Chemistry - Class-34 | Chem | Atomic Structure : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6371256955112/6371256955112.m3u8
Chemistry - Class-35 | Chem | Atomic Structure : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6371298250112/6371298250112.m3u8
Chemistry - Class-36 | Chem | Atomic Structure : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371461051112/6371461051112.m3u8
Chemistry - Class-37 | Chem | Atomic Structure : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/vod_non_drm_hls/migration/Im3zHq5IlF8/Im3zHq5IlF8.m3u8
Chemistry - Class-38 | Polymer : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6351017154112/6351017154112.m3u8
Chemistry - Class-39 | Valency : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6351086036112/6351086036112.m3u8
Chemistry - Class-40 | Hybridisation : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_non_drm_hls/migration/6351300245112/6351300245112.m3u8
Chemistry - Class-41 | Catalyst & Molecular Weight : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6351401893112/6351401893112.m3u8
Chemistry - Class-42 | Drugs : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6351795040112/6351795040112.m3u8
Chemistry - Class-43 | Chemical Reactions : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/channel_vod_non_drm_hls/4534878/175647785034466908824/175647785034466908824_6908824.m3u8
Chemistry - Class-45 | Chemical reaction part -3 : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/vod_non_drm_ios/4562920/1759207585_7812597505015292/1759207272336_108075251850785220_video_VOD.m3u8
Chemistry - Class-46 | Chemical reaction part -4 : https://d14v4v80cpjht7.cloudfront.net/file_library/videos/vod_non_drm_ios/4562915/1759207209_5992216846493201/1759207131662_578957353858353700_video_VOD.m3u8
Chemistry - Class-47 | Soap And Detergent : https://d3vlg4qjb80h8n.cloudfront.net/file_library/videos/migration/brightcove/6352581376112/6352581376112.m3u8
Chemistry - Phy (Hindi) Full Notes : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/673b097f42e0d_Phy_Hindi_Full_Notescompressed_1.pdf
Chemistry - Phy (Eng) Full Notes : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/673b099309126_Phy_Eng_Full_Notescompressed.pdf
Chemistry - Phy | 7&8 July | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/686e0b69b090e_ilovepdfmerged_46compressed.pdf
Chemistry - Phy | 9 July | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/686e0bb784da2_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_9th_july.pdf
Chemistry - Phy | 10 July | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68709d0c78161_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_10th_july.pdf
Chemistry - Phy | 11 July | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68709e1c6797b_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_11th_julycompressed.pdf
Chemistry - Phy | 14 July | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/6875ee0f0a8e1_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_14th_july.pdf
Chemistry - Phy | 15 July | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/687737a66e115_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_15th_julycompressed.pdf
Chemistry - Phy | 16 July | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/68788a8b54e5b_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_16th_julycompressed.pdf
Chemistry - Phy | 18 July | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/687b4614bdc48_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_18th_july.pdf
Chemistry - Phy | 17 July | Class PNG : https://cwmediabkt99.crwilladmin.com/92013a99927c4842b0a70fbd6f064a95:crwilladmin/class-attachment/687f26746b0fb_sci_spl_29_30_and_technician_grade_3_new_batch_express_batch_123_DP_AWO_batch_2_17th_july.pdf
